type,content
paragraph,"In Asia, Japan termed nations under its occupation as being part of theGreater East Asia Co-Prosperity Sphere, essentially a Japanesehegemonywhich it claimed was for purposes of liberating colonised peoples.[422]Although Japanese forces were sometimes welcomed as liberators from European domination,Japanese war crimesfrequently turned local public opinion against them.[423]During Japan's initial conquest, it captured 4,000,000 barrels (640,000 m3) of oil (~550,000 tonnes) left behind by retreating Allied forces; and by 1943, was able to get production in the Dutch East Indies up to 50 million barrels (7,900,000 m3) of oil (~6.8 million tonnes), 76 percent of its 1940 output rate.[423]"
paragraph,In the 1930s Britain and the United States together controlled almost 75% of world mineral output—essential for projecting military power.[424]
paragraph,"In Europe, before the outbreak of the war, the Allies had significant advantages in both population and economics. In 1938, the Western Allies (United Kingdom, France, Poland and the British Dominions) had a 30 percent larger population and a 30 percent higher gross domestic product than the European Axis powers (Germany and Italy); including colonies, the Allies had more than a 5:1 advantage in population and a nearly 2:1 advantage in GDP.[425]In Asia at the same time, China had roughly six times the population of Japan but only an 89 percent higher GDP; this reduces to three times the population and only a 38 percent higher GDP if Japanese colonies are included.[425]"
paragraph,"The United States produced about two-thirds of all munitions used by the Allies in World War II, including warships, transports, warplanes, artillery, tanks, trucks, and ammunition.[426]Although the Allies' economic and population advantages were largely mitigated during the initial rapid blitzkrieg attacks of Germany and Japan, they became the decisive factor by 1942, after the United States and Soviet Union joined the Allies and the war evolved into one ofattrition.[427]While the Allies' ability to out-produce the Axis was partly due to more access to natural resources, other factors, such as Germany and Japan's reluctance to employ women in thelabour force,[428]Alliedstrategic bombing,[429]and Germany's late shift to awar economy[430]contributed significantly. Additionally, neither Germany nor Japan planned to fight a protracted war, and had not equipped themselves to do so.[431]To improve their production, Germany and Japan used millions ofslave labourers;[432]Germany enslavedabout 12 million people, mostly from Eastern Europe,[405]whileJapan usedmore than 18 million people in Far East Asia.[413][414]"
paragraph,"Aircraft were used forreconnaissance, asfighters,bombers, andground-support, and each role developed considerably. Innovations includedairlift(the capability to quickly move limited high-priority supplies, equipment, and personnel);[433]andstrategic bombing(the bombing of enemy industrial and population centres to destroy the enemy's ability to wage war).[434]Anti-aircraft weaponryalso advanced, including defences such asradarand surface-to-air artillery, in particular the introduction of theproximity fuze. The use of thejet aircraftwas pioneered and led to jets becoming standard in air forces worldwide.[435]"
paragraph,"Advances were made in nearly every aspect ofnaval warfare, most notably withaircraft carriersandsubmarines. Althoughaeronauticalwarfare had relatively little success at the start of the war,actions at Taranto,Pearl Harbor, and theCoral Seaestablished the carrier as the dominant capital ship (in place of the battleship).[436][437][438]In the Atlantic,escort carriersbecame a vital part of Allied convoys, increasing the effective protection radius and helping to close theMid-Atlantic gap.[439]Carriers were also more economical thanbattleshipsdue to the relatively low cost of aircraft[440]and because they are not required to be as heavily armoured.[441]Submarines, which had proved to be an effective weapon during theFirst World War,[442]were expected by all combatants to be important in the second. The British focused development onanti-submarineweaponryand tactics, such assonarand convoys, while Germany focused on improving its offensive capability, with designs such as theType VII submarineandwolfpacktactics.[443][better source needed]Gradually, improving Allied technologies such as theLeigh Light,Hedgehog,Squid, andhoming torpedoesproved effective against German submarines.[444]"
paragraph,"Land warfarechanged from the static frontlines oftrench warfareof World War I, which had relied on improvedartillerythat outmatched the speed of bothinfantryandcavalry, to increased mobility andcombined arms. Thetank, which had been used predominantly for infantry support in the First World War, had evolved into the primary weapon.[445]In the late 1930s, tank design was considerably more advanced than it had been during World WarI,[446]andadvances continued throughout the warwith increases in speed, armour and firepower.[447][448]At the start of the war, most commanders thought enemy tanks should be met by tanks with superior specifications.[449]This idea was challenged by the poor performance of the relatively light early tank guns against armour, and German doctrine of avoiding tank-versus-tank combat. This, along with Germany's use of combined arms, were among the key elements of their highly successful blitzkrieg tactics across Poland and France.[445]Many means ofdestroying tanks, includingindirect artillery,anti-tank guns(both towed andself-propelled),mines, short-ranged infantry antitank weapons, and other tanks were used.[449]Even with large-scale mechanisation, infantry remained the backbone of all forces,[450]and throughout the war, most infantry were equipped similarly to World War I.[451]The portable machine gun spread, a notable example being the GermanMG 34, and varioussubmachine gunswhich were suited toclose combatin urban and jungle settings.[451]Theassault rifle, a late war development incorporating many features of the rifle and submachine gun, became the standard post-war infantry weapon for most armed forces.[452]"
paragraph,"Most major belligerents attempted to solve the problems of complexity and security involved in using largecodebooksforcryptographyby designingcipheringmachines, the most well-known being the GermanEnigma machine.[453]Development ofSIGINT(signalsintelligence) andcryptanalysisenabled the countering process of decryption. Notable examples were the Allied decryption ofJapanese naval codes[454]and BritishUltra, apioneering methodfor decoding Enigma that benefited from information given to the United Kingdom by thePolish Cipher Bureau, which had been decoding early versions of Enigma before the war.[455]Another component ofmilitary intelligencewasdeception, which the Allies used to great effect in operations such asMincemeatandBodyguard.[454][456]"
paragraph,"Other technological and engineering feats achieved during, or as a result of, the war include the world's first programmable computers (Z3,Colossus, andENIAC),guided missilesandmodern rockets, theManhattan Project's development ofnuclear weapons,operations research, the development ofartificial harbours, andoil pipelines under the English Channel.[457]Penicillinwas firstdeveloped, mass-produced, and usedduring the war.[458]"
link,#bodyContent
link,/wiki/Main_Page
link,/wiki/Wikipedia:Contents
link,/wiki/Portal:Current_events
link,/wiki/Special:Random
link,/wiki/Wikipedia:About
link,//en.wikipedia.org/wiki/Wikipedia:Contact_us
link,/wiki/Help:Contents
link,/wiki/Help:Introduction
link,/wiki/Wikipedia:Community_portal
link,/wiki/Special:RecentChanges
link,/wiki/Wikipedia:File_upload_wizard
link,/wiki/Special:SpecialPages
link,/wiki/Main_Page
link,/wiki/Special:Search
link,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en
link,/w/index.php?title=Special:CreateAccount&returnto=World+War+II
link,/w/index.php?title=Special:UserLogin&returnto=World+War+II
link,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en
link,/w/index.php?title=Special:CreateAccount&returnto=World+War+II
link,/w/index.php?title=Special:UserLogin&returnto=World+War+II
link,/wiki/Help:Introduction
link,/wiki/Special:MyContributions
link,/wiki/Special:MyTalk
link,#
link,#Start_and_end_dates
link,#Background
link,#Aftermath_of_World_War_I
link,#Germany_and_Italy
link,#European_treaties
link,#Asia
link,#Pre-war_events
link,#Italian_invasion_of_Ethiopia_(1935)
link,#Spanish_Civil_War_(1936–1939)
link,#Japanese_invasion_of_China_(1937)
link,#Soviet–Japanese_border_conflicts
link,#European_occupations_and_agreements
link,#Course_of_the_war
link,#War_breaks_out_in_Europe_(1939–1940)
link,#Western_Europe_(1940–1941)
link,#Mediterranean_(1940–1941)
link,#Axis_attack_on_the_Soviet_Union_(1941)
link,#War_breaks_out_in_the_Pacific_(1941)
link,#Axis_advance_stalls_(1942–1943)
link,#Pacific_(1942–1943)
link,#Eastern_Front_(1942–1943)
link,#Western_Europe/Atlantic_and_Mediterranean_(1942–1943)
link,#Allies_gain_momentum_(1943–1944)
link,#Allies_close_in_(1944)
link,#Axis_collapse_and_Allied_victory_(1944–1945)
link,#Aftermath
link,#Impact
link,#Casualties_and_war_crimes
link,"#Genocide,_concentration_camps,_and_slave_labour"
link,#Occupation
link,#Home_fronts_and_production
link,#Advances_in_technology_and_its_application
link,#See_also
link,#Notes
link,#References
link,#Sources
link,#Further_reading
link,#External_links
link,https://kbd.wikipedia.org/wiki/%D0%95%D1%82%D3%80%D1%83%D0%B0%D0%BD%D1%8D_%D0%B4%D1%83%D0%BD%D0%B5%D0%B9%D0%BF%D1%81%D0%BE_%D0%B7%D0%B0%D1%83%D1%8D
link,https://af.wikipedia.org/wiki/Tweede_W%C3%AAreldoorlog
link,https://als.wikipedia.org/wiki/Zweiter_Weltkrieg
link,https://am.wikipedia.org/wiki/2%E1%8A%9B%E1%8B%8D_%E1%8B%93%E1%88%88%E1%88%9B%E1%8B%8A_%E1%8C%A6%E1%88%AD%E1%8A%90%E1%89%B5
link,https://smn.wikipedia.org/wiki/Nubbe_maailmsu%C3%A1ti
link,https://ang.wikipedia.org/wiki/%C5%8C%C3%B0ru_Woruldg%C5%AB%C3%BE
link,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%B1%D8%A8_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9_%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9
link,https://an.wikipedia.org/wiki/Segunda_Guerra_Mundial
link,https://hyw.wikipedia.org/wiki/%D4%B5%D6%80%D5%AF%D6%80%D5%B8%D6%80%D5%A4_%D5%80%D5%A1%D5%B4%D5%A1%D5%B7%D5%AD%D5%A1%D6%80%D5%B0%D5%A1%D5%B5%D5%AB%D5%B6_%D5%8A%D5%A1%D5%BF%D5%A5%D6%80%D5%A1%D5%A6%D5%B4
link,https://frp.wikipedia.org/wiki/Seconda_Gu%C3%A8rra_mondi%C3%A2la
link,https://as.wikipedia.org/wiki/%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC_%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7
link,https://ast.wikipedia.org/wiki/Segunda_Guerra_Mundial
link,https://gn.wikipedia.org/wiki/%C3%91orair%C3%B5_Guasu_Mok%C3%B5iha
link,https://av.wikipedia.org/wiki/%D0%9A%D3%80%D0%B8%D0%B0%D0%B1%D0%B8%D0%BB%D0%B5%D0%B1_%D0%B4%D1%83%D0%BD%D1%8F%D0%BB%D0%B0%D0%BB%D1%8A%D1%83%D0%BB%D0%B0%D0%B1_%D1%80%D0%B0%D0%B3%D1%8A
link,https://az.wikipedia.org/wiki/%C4%B0kinci_D%C3%BCnya_m%C3%BCharib%C9%99si
link,https://azb.wikipedia.org/wiki/%D8%A7%DB%8C%DA%A9%DB%8C%D9%86%D8%AC%DB%8C_%D8%AF%D9%88%D9%86%DB%8C%D8%A7_%D8%B3%D8%A7%D9%88%D8%A7%D8%B4%DB%8C
link,https://ban.wikipedia.org/wiki/Yuda_Jagat_II
link,https://bn.wikipedia.org/wiki/%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC_%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7
link,https://zh-min-nan.wikipedia.org/wiki/T%C4%93-j%C4%AB-chh%C3%B9_S%C3%A8-k%C3%A0i_T%C4%81i-chi%C3%A0n
link,https://map-bms.wikipedia.org/wiki/Perang_Donya_II
link,https://ba.wikipedia.org/wiki/%D0%98%D0%BA%D0%B5%D0%BD%D1%81%D0%B5_%D0%B4%D0%BE%D0%BD%D1%8A%D1%8F_%D2%BB%D1%83%D2%93%D1%8B%D1%88%D1%8B
link,https://be.wikipedia.org/wiki/%D0%94%D1%80%D1%83%D0%B3%D0%B0%D1%8F_%D1%81%D1%83%D1%81%D0%B2%D0%B5%D1%82%D0%BD%D0%B0%D1%8F_%D0%B2%D0%B0%D0%B9%D0%BD%D0%B0
link,https://be-tarask.wikipedia.org/wiki/%D0%94%D1%80%D1%83%D0%B3%D0%B0%D1%8F_%D1%81%D1%83%D1%81%D1%8C%D0%B2%D0%B5%D1%82%D0%BD%D0%B0%D1%8F_%D0%B2%D0%B0%D0%B9%D0%BD%D0%B0
link,https://bh.wikipedia.org/wiki/%E0%A4%A6%E0%A5%81%E0%A4%B8%E0%A4%B0%E0%A4%BE_%E0%A4%AC%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%B5_%E0%A4%9C%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7
link,https://bcl.wikipedia.org/wiki/Ikaduwang_Gerang_Pankinaban
link,https://bi.wikipedia.org/wiki/Wol_Wo_Tu
link,https://bg.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B0_%D1%81%D0%B2%D0%B5%D1%82%D0%BE%D0%B2%D0%BD%D0%B0_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
link,https://bar.wikipedia.org/wiki/Zwoata_W%C3%B6dkriag
link,https://bo.wikipedia.org/wiki/%E0%BD%A0%E0%BD%9B%E0%BD%98%E0%BC%8B%E0%BD%82%E0%BE%B3%E0%BD%B2%E0%BD%84%E0%BC%8B%E0%BD%A0%E0%BD%81%E0%BE%B2%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%86%E0%BD%BA%E0%BD%93%E0%BC%8B%E0%BD%82%E0%BD%89%E0%BD%B2%E0%BD%A6%E0%BC%8B%E0%BD%94%E0%BC%8B
link,https://bs.wikipedia.org/wiki/Drugi_svjetski_rat
link,https://br.wikipedia.org/wiki/Eil_Brezel-bed
link,https://bxr.wikipedia.org/wiki/%D0%94%D1%8D%D0%BB%D1%85%D1%8D%D0%B9%D0%BD_%D1%85%D0%BE%D1%91%D1%80%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80_%D0%B4%D0%B0%D0%B9%D0%BD
link,https://ca.wikipedia.org/wiki/Segona_Guerra_Mundial
link,https://cv.wikipedia.org/wiki/%D0%98%D0%BA%D0%BA%C4%95%D0%BC%C4%95%D1%88_%D0%A2%C4%95%D0%BD%D1%87%D0%B5_%D0%B2%C4%83%D1%80%C3%A7%D0%B8
link,https://ceb.wikipedia.org/wiki/Ikaduhang_Gubat_Kalibotanon
link,https://cs.wikipedia.org/wiki/Druh%C3%A1_sv%C4%9Btov%C3%A1_v%C3%A1lka
link,https://cbk-zam.wikipedia.org/wiki/Segunda_Guerra_Mundial
link,https://ny.wikipedia.org/wiki/Nkhondo_Yachiwiri_Yadziko_Lonse
link,https://sn.wikipedia.org/wiki/Hondo_yePasirose_yeChipiri
link,https://co.wikipedia.org/wiki/Seconda_Guerra_Mundiale
link,https://cy.wikipedia.org/wiki/Yr_Ail_Ryfel_Byd
link,https://da.wikipedia.org/wiki/2._verdenskrig
link,https://ary.wikipedia.org/wiki/%D9%84%D8%AD%D8%B1%D8%A8_%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9_%D8%A7%D9%84%D8%AC%D8%A7%D9%88%D8%AC%D8%A9
link,https://se.wikipedia.org/wiki/Nubbi_m%C3%A1ilmmisoahti
link,https://pdc.wikipedia.org/wiki/Zwette_Weltgrieg
link,https://de.wikipedia.org/wiki/Zweiter_Weltkrieg
link,https://dv.wikipedia.org/wiki/%DE%8B%DE%AC%DE%88%DE%A6%DE%82%DE%A6_%DE%84%DE%AE%DE%91%DE%AA_%DE%80%DE%A6%DE%82%DE%8E%DE%AA%DE%83%DE%A7%DE%89%DE%A6
link,https://nv.wikipedia.org/wiki/Naaki_g%C3%B3ne%CA%BC_y%C3%A9igo_da%CA%BCahijoog%C4%85%CC%81%C4%85%CC%81%CA%BC
link,https://dsb.wikipedia.org/wiki/Druga_sw%C4%9Btowa_w%C3%B3jna
link,https://dty.wikipedia.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BF%E0%A4%A4%E0%A5%80%E0%A4%AF_%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7
link,https://et.wikipedia.org/wiki/Teine_maailmas%C3%B5da
link,https://el.wikipedia.org/wiki/%CE%92%CE%84_%CE%A0%CE%B1%CE%B3%CE%BA%CF%8C%CF%83%CE%BC%CE%B9%CE%BF%CF%82_%CE%A0%CF%8C%CE%BB%CE%B5%CE%BC%CE%BF%CF%82
link,https://eml.wikipedia.org/wiki/Sec%C3%A5nda_gu%C3%A8ra_mundi%C3%A8l
link,https://es.wikipedia.org/wiki/Segunda_Guerra_Mundial
link,https://eo.wikipedia.org/wiki/Dua_Mondmilito
link,https://ext.wikipedia.org/wiki/II_Guerra_Mundial
link,https://eu.wikipedia.org/wiki/Bigarren_Mundu_Gerra
link,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%D8%AF%D9%88%D9%85
link,https://hif.wikipedia.org/wiki/World_War_II
link,https://fo.wikipedia.org/wiki/Seinni_heimsbardagi
link,https://fr.wikipedia.org/wiki/Seconde_Guerre_mondiale
link,https://fy.wikipedia.org/wiki/Twadde_Wr%C3%A2ldkriich
link,https://fur.wikipedia.org/wiki/Seconde_vuere_mondi%C3%A2l
link,https://ga.wikipedia.org/wiki/An_Dara_Cogadh_Domhanda
link,https://gv.wikipedia.org/wiki/Yn_Nah_Chaggey_Dowanagh
link,https://gd.wikipedia.org/wiki/An_D%C3%A0rna_Cogadh
link,https://gl.wikipedia.org/wiki/Segunda_guerra_mundial
link,https://gan.wikipedia.org/wiki/%E7%AC%AC%E4%BA%8C%E6%AC%A1%E4%B8%96%E7%95%8C%E5%A4%A7%E6%88%B0
link,https://gu.wikipedia.org/wiki/%E0%AA%AC%E0%AB%80%E0%AA%9C%E0%AB%81%E0%AA%82_%E0%AA%B5%E0%AA%BF%E0%AA%B6%E0%AB%8D%E0%AA%B5_%E0%AA%AF%E0%AB%81%E0%AA%A6%E0%AB%8D%E0%AA%A7
link,https://hak.wikipedia.org/wiki/Thi-ngi-chh%E1%B9%B3_S%E1%B9%B3-kie_Thai-chan
link,https://ko.wikipedia.org/wiki/%EC%A0%9C2%EC%B0%A8_%EC%84%B8%EA%B3%84_%EB%8C%80%EC%A0%84
link,https://ha.wikipedia.org/wiki/Ya%C6%99in_Duniya_na_II
link,https://hy.wikipedia.org/wiki/%D4%B5%D6%80%D5%AF%D6%80%D5%B8%D6%80%D5%A4_%D5%B0%D5%A1%D5%B4%D5%A1%D5%B7%D5%AD%D5%A1%D6%80%D5%B0%D5%A1%D5%B5%D5%AB%D5%B6_%D5%BA%D5%A1%D5%BF%D5%A5%D6%80%D5%A1%D5%A6%D5%B4
link,https://hi.wikipedia.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BF%E0%A4%A4%E0%A5%80%E0%A4%AF_%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7
link,https://hsb.wikipedia.org/wiki/Druha_sw%C4%9Btowa_w%C3%B3jna
link,https://hr.wikipedia.org/wiki/Drugi_svjetski_rat
link,https://io.wikipedia.org/wiki/Duesma_mondomilito
link,https://ig.wikipedia.org/wiki/World_War_II
link,https://ilo.wikipedia.org/wiki/Maikadua_a_Sangalubongan_a_Gubat
link,https://id.wikipedia.org/wiki/Perang_Dunia_II
link,https://ia.wikipedia.org/wiki/Secunde_Guerra_Mundial
link,https://ie.wikipedia.org/wiki/Duesim_Guerre_Mundal
link,https://os.wikipedia.org/wiki/%D0%94%D1%8B%D0%BA%D0%BA%D0%B0%D0%B3_%D0%B4%D1%83%D0%BD%D0%B5%D0%BE%D0%BD_%D1%85%C3%A6%D1%81%D1%82
link,https://is.wikipedia.org/wiki/Seinni_heimsstyrj%C3%B6ldin
link,https://it.wikipedia.org/wiki/Seconda_guerra_mondiale
link,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%94%D7%A2%D7%95%D7%9C%D7%9D_%D7%94%D7%A9%D7%A0%D7%99%D7%99%D7%94
link,https://jv.wikipedia.org/wiki/Perang_Donya_II
link,https://kbp.wikipedia.org/wiki/Kede%C5%8Ba_kpeekpe_you_k%C9%A9l%C9%9Bl%CA%8B%CA%8B
link,https://kn.wikipedia.org/wiki/%E0%B2%8E%E0%B2%B0%E0%B2%A1%E0%B2%A8%E0%B3%87_%E0%B2%AE%E0%B2%B9%E0%B2%BE%E0%B2%AF%E0%B3%81%E0%B2%A6%E0%B3%8D%E0%B2%A7
link,https://krc.wikipedia.org/wiki/%D0%AD%D0%BA%D0%B8%D0%BD%D1%87%D0%B8_%D0%B4%D1%83%D0%BD%D0%B8%D1%8F_%D0%BA%D1%8A%D0%B0%D0%B7%D0%B0%D1%83%D0%B0%D1%82
link,https://ka.wikipedia.org/wiki/%E1%83%9B%E1%83%94%E1%83%9D%E1%83%A0%E1%83%94_%E1%83%9B%E1%83%A1%E1%83%9D%E1%83%A4%E1%83%9A%E1%83%98%E1%83%9D_%E1%83%9D%E1%83%9B%E1%83%98
link,https://ks.wikipedia.org/wiki/%D8%AF%D9%88%D9%9A%DB%8C%D9%90%D9%85_%D8%B9%D9%94%D8%B8%DB%8C%D9%96%D9%85_%D8%AC%D9%8E%D9%86%D9%9B%DA%AF
link,https://kk.wikipedia.org/wiki/%D0%95%D0%BA%D1%96%D0%BD%D1%88%D1%96_%D0%B4%D2%AF%D0%BD%D0%B8%D0%B5%D0%B6%D2%AF%D0%B7%D1%96%D0%BB%D1%96%D0%BA_%D1%81%D0%BE%D2%93%D1%8B%D1%81
link,https://kw.wikipedia.org/wiki/Eyl_Bresel_an_Bys
link,https://sw.wikipedia.org/wiki/Vita_Kuu_vya_Pili_vya_Dunia
link,https://kv.wikipedia.org/wiki/%D0%9C%C3%B6%D0%B4_%D0%BC%D0%B8%D1%80%C3%B6%D0%B2%C3%B6%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
link,https://ht.wikipedia.org/wiki/Dezy%C3%A8m_G%C3%A8_mondyal
link,https://gcr.wikipedia.org/wiki/S%C3%A9gonn_Lag%C3%A8r_mondyal
link,https://ku.wikipedia.org/wiki/%C5%9Eer%C3%AA_C%C3%AEhan%C3%AE_y%C3%AA_Duyem
link,https://ky.wikipedia.org/wiki/%D0%AD%D0%BA%D0%B8%D0%BD%D1%87%D0%B8_%D0%B4%D2%AF%D0%B9%D0%BD%D3%A9%D0%BB%D2%AF%D0%BA_%D1%81%D0%BE%D0%B3%D1%83%D1%88
link,https://lld.wikipedia.org/wiki/Secunda_Vera_Mondiala
link,https://lad.wikipedia.org/wiki/Dosena_Gerra_Mondiala
link,https://lbe.wikipedia.org/wiki/2-%D0%BC%D1%83%D1%80_%D0%B4%D1%83%D0%BD%D0%B8%D1%8F%D0%BB%D0%BB%D1%83%D0%BB_%D0%B4%D1%8F%D1%8A%D0%B2%D0%B8
link,https://lo.wikipedia.org/wiki/%E0%BA%AA%E0%BA%BB%E0%BA%87%E0%BA%84%E0%BA%B2%E0%BA%A1%E0%BB%82%E0%BA%A5%E0%BA%81%E0%BA%84%E0%BA%B1%E0%BB%89%E0%BA%87%E0%BA%97%E0%BA%B5%E0%BA%AA%E0%BA%AD%E0%BA%87
link,https://la.wikipedia.org/wiki/Secundum_bellum_mundanum
link,https://lv.wikipedia.org/wiki/Otrais_pasaules_kar%C5%A1
link,https://lb.wikipedia.org/wiki/Zweete_Weltkrich
link,https://lez.wikipedia.org/wiki/%D0%94%D1%83%D1%8C%D0%BD%D1%8C%D1%8F%D0%B4%D0%B8%D0%BD_%D0%BA%D1%8C%D0%B2%D0%B5%D0%B4%D0%BB%D0%B0%D0%B3%D1%8C%D0%B0%D0%B9_%D0%B4%D1%8F%D0%B2%D0%B5
link,https://lt.wikipedia.org/wiki/Antrasis_pasaulinis_karas
link,https://lij.wikipedia.org/wiki/Segonda_Gu%C3%A6ra_Mondi%C3%A2
link,https://li.wikipedia.org/wiki/Twiede_Wereldoorlog
link,https://lfn.wikipedia.org/wiki/Gera_Mundal_Du
link,https://olo.wikipedia.org/wiki/Toine_muailmanvoinu
link,https://jbo.wikipedia.org/wiki/remoi_ke_terdi_nunjamna
link,https://lmo.wikipedia.org/wiki/Seg%C3%B3nda_gu%C3%A8ra_mondi%C3%A0l
link,https://hu.wikipedia.org/wiki/M%C3%A1sodik_vil%C3%A1gh%C3%A1bor%C3%BA
link,https://mai.wikipedia.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BF%E0%A4%A4%E0%A5%80%E0%A4%AF_%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7
link,https://mk.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B0_%D1%81%D0%B2%D0%B5%D1%82%D1%81%D0%BA%D0%B0_%D0%B2%D0%BE%D1%98%D0%BD%D0%B0
link,https://mg.wikipedia.org/wiki/Ady_Lehibe_Faharoa
link,https://ml.wikipedia.org/wiki/%E0%B4%B0%E0%B4%A3%E0%B5%8D%E0%B4%9F%E0%B4%BE%E0%B4%82_%E0%B4%B2%E0%B5%8B%E0%B4%95%E0%B4%AE%E0%B4%B9%E0%B4%BE%E0%B4%AF%E0%B5%81%E0%B4%A6%E0%B5%8D%E0%B4%A7%E0%B4%82
link,https://mt.wikipedia.org/wiki/It-Tieni_Gwerra_Dinjija
link,https://mi.wikipedia.org/wiki/Pakanga_Tuarua_o_te_Ao
link,https://mr.wikipedia.org/wiki/%E0%A4%A6%E0%A5%81%E0%A4%B8%E0%A4%B0%E0%A5%87_%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%AF%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7
link,https://xmf.wikipedia.org/wiki/%E1%83%9B%E1%83%90%E1%83%9F%E1%83%98%E1%83%A0%E1%83%90_%E1%83%9B%E1%83%9D%E1%83%A1%E1%83%9D%E1%83%A4%E1%83%94%E1%83%9A%E1%83%98%E1%83%A8_%E1%83%9A%E1%83%B7%E1%83%9B%E1%83%90
link,https://arz.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%B1%D8%A8_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D9%87_%D8%A7%D9%84%D8%AA%D8%A7%D9%86%D9%8A%D9%87
link,https://mzn.wikipedia.org/wiki/%D8%AC%D8%A6%D9%88%D9%86%DB%8C_%D8%AF%DB%8C%D9%85%DB%8C%D9%86_%D8%A7%D9%84%D8%AC%D9%87
link,https://ms.wikipedia.org/wiki/Perang_Dunia_Kedua
link,https://min.wikipedia.org/wiki/Parang_Dunia_II
link,https://cdo.wikipedia.org/wiki/D%C3%A2%CC%A4-n%C3%AA-ch%C3%A9%CC%A4%E1%B9%B3_Si%C3%A9-g%C3%A1i_D%C3%A2i-ci%C3%A9ng
link,https://mwl.wikipedia.org/wiki/Segunda_Guerra_Mundial
link,https://mdf.wikipedia.org/wiki/%D0%9E%D0%BC%D0%B1%D0%BE%D1%86%D0%B5_%D0%BC%D0%B0%D1%81%D1%82%D0%BE%D1%80%D0%BB%D0%B0%D0%BD%D0%B3%D0%BE%D0%BD%D1%8C_%D1%82%D0%BE%D1%80%D0%BF%D0%B8%D0%BD%D0%B3%D0%B5%D1%81%D1%8C
link,https://mn.wikipedia.org/wiki/%D0%94%D1%8D%D0%BB%D1%85%D0%B8%D0%B9%D0%BD_%D1%85%D0%BE%D1%91%D1%80%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80_%D0%B4%D0%B0%D0%B9%D0%BD
link,https://my.wikipedia.org/wiki/%E1%80%92%E1%80%AF%E1%80%90%E1%80%AD%E1%80%9A_%E1%80%80%E1%80%99%E1%80%B9%E1%80%98%E1%80%AC%E1%80%85%E1%80%85%E1%80%BA
link,https://nl.wikipedia.org/wiki/Tweede_Wereldoorlog
link,https://nds-nl.wikipedia.org/wiki/Tweede_Wereldoorlog
